username, created_at, lng, lat, text
mashni1978, Fri Jan 29 18:59:17 +0000 2021, -87.778863, 41.705400, @MrsTaulbee307 Very cute.  Great idea 💡 
mickaellee70, Fri Jan 29 18:59:17 +0000 2021, -98.716992, 35.309047, Team  #CrunchClassicEntry 
illchokeu, Fri Jan 29 18:59:17 +0000 2021, -96.426806, 32.920541, @JosephBrooks14 @AnniechristART @JB_DShawn Boom 💥 
MelCyr, Fri Jan 29 18:59:17 +0000 2021, -117.865291, 33.667225, I'm at @Staples in Newport Beach, CA https://t.co/FYeoJnN09H 
dominantemty59, Fri Jan 29 18:59:17 +0000 2021, -100.270474, 25.736715, @UnaParejaMass Te han hecho doble penetración. Te gusta tragar semen q no de tu pareja 
ErikEggland, Fri Jan 29 18:59:17 +0000 2021, -93.624819, 41.670051, Over. The. Top. https://t.co/VdSJDwUfcP 
Rebecca70023457, Fri Jan 29 18:59:17 +0000 2021, -83.574671, 41.656590, @ProjectLincoln What a fkg bunch of bullshit lies. 
jmdeangel, Fri Jan 29 18:59:17 +0000 2021, -74.001779, 40.755212, Just posted a photo @ Equinox Hudson Yards https://t.co/sIagmILlS6 
kwc_football, Fri Jan 29 18:59:17 +0000 2021, -87.102400, 37.765135, LIGHTS.... CAMERA.... ACTION.... 🎥💡💥.... Here’s our 2021 spring schedule!!#PAWSUP https://t.co/gGN5u83C50 
royleeclark1, Fri Jan 29 18:59:18 +0000 2021, -94.927073, 29.321974, @cb_shanahan @CharlotteRawl12 @UncvrngTheTruth But if they break the law should be prosecuted 
DaddySaurusFlex, Fri Jan 29 18:59:18 +0000 2021, -85.637308, 38.249034, @jstylist502 @aaronellis01 Love him! 
DuckyVail14, Fri Jan 29 18:59:18 +0000 2021, -86.270540, 45.001180, He was $1,000. https://t.co/zfk6EWbTmi 
omizzle1519, Fri Jan 29 18:59:18 +0000 2021, -74.724323, 40.073041, @HannahStormESPN @HoustonTexans https://t.co/rPmjHmra74 
CasteelShelby, Fri Jan 29 18:59:18 +0000 2021, -119.025163, 35.346902, ✨narcissist✨ 
typical_Aj_99, Fri Jan 29 18:59:18 +0000 2021, -119.025163, 35.346902, @__caels AHAHAHAHHA 
ohthasphat, Fri Jan 29 18:59:18 +0000 2021, -95.446486, 29.838495, Plz and thank u 
cdaley5, Fri Jan 29 18:59:18 +0000 2021, -84.153529, 39.695477, @elonmusk drop 1MIL into AMC 
MCoronelMD, Fri Jan 29 18:59:18 +0000 2021, -80.178392, 26.039680, @marklewismd Yes! Makes it very convenient for my outpatient practice. 
jussassy2u, Fri Jan 29 18:59:18 +0000 2021, -81.772527, 38.428635, Aww look at my son @ArtieHenryIII 💚 
jevonne_howard, Fri Jan 29 18:59:18 +0000 2021, -121.375689, 38.604033, Check my guy out! 💪🏾 
BrazzyK, Fri Jan 29 18:59:18 +0000 2021, -80.926628, 33.631140, @_August10 Nooo brodie😂 no 🧢 in my rap. Woulda pulled off on her ass 
Thee_McNasty_, Fri Jan 29 18:59:18 +0000 2021, -77.014398, 38.898603, @MuniMescudi The real question is, did you follow him back? Lol 
AndreewWebb, Fri Jan 29 18:59:19 +0000 2021, -90.377281, 38.635678, And no arrests 
mikeelwin, Fri Jan 29 18:59:19 +0000 2021, -122.330602, 47.614817, @stoolpresidente @RobinhoodApp https://t.co/O1pVsLH30m 
MISTERCKR, Fri Jan 29 18:59:19 +0000 2021, -118.411907, 34.020789, @Elikoy_31 I actually play the whole series every weekend hehhe 
MathiasDadd, Fri Jan 29 18:59:19 +0000 2021, -73.212865, 41.215057, HIS FIRST HAIRCUT‼️ Words can’t explain how happy I am to be apart of his first real haircut with clippers.… https://t.co/jlnzRNZPA0 
LuisToledoCast3, Fri Jan 29 18:59:19 +0000 2021, -122.304396, 47.660382, https://t.co/4Mw8R1TyVM 
MrsBlueAce, Fri Jan 29 18:59:19 +0000 2021, -97.343915, 37.683897, Thank You @ICTBeatsVirus #WeBeatVirusTogether #WeFlyTogether 
gaby_belliard, Fri Jan 29 18:59:19 +0000 2021, -98.540651, 29.417501, @GritsAndBeans @YaUncleAj @NoMoreBran @_meachhh @papibianxx https://t.co/dgLM9mP9Zf 
realChrisSaul, Fri Jan 29 18:59:19 +0000 2021, -75.117998, 40.004866, Another good paper from the Sehgal lab! https://t.co/8wUgC0iABM 
Talibandit_, Fri Jan 29 18:59:19 +0000 2021, -73.916991, 41.693233, Done gambling .. only casinos is wat I’m playing 
GreenkingFamily, Fri Jan 29 18:59:19 +0000 2021, -120.583402, 44.145437, @XrpYoyo Share https://t.co/LwQwwKOClh 
manithdapplebum, Fri Jan 29 18:59:19 +0000 2021, -80.846785, 35.209059, @MeyaliSoto Lmaoooo 
TLFrankKing, Fri Jan 29 18:59:19 +0000 2021, -97.285913, 32.779967, @ourtradingcards @slprospects Isn't Droid ownership a veiled metaphor for slavery in this story anyway? They are se… https://t.co/z0XdkGxFQE 
OfPluribus, Fri Jan 29 18:59:19 +0000 2021, -83.804475, 27.698682, @CoreyRForrester You are a patriot brother. We all feel the pain. 
__liwne, Fri Jan 29 18:59:19 +0000 2021, -91.401008, 30.937336, 😂😂😂😂😂😂😂😂😂 
Twilababychild, Fri Jan 29 18:59:19 +0000 2021, -122.669236, 47.561802, Dawg if you don’t just multiply that 300 x .07🤦🏻‍♀️ 
sweetpea_1129, Fri Jan 29 18:59:20 +0000 2021, -118.411907, 34.020789, @Pumpernickol @SoElleBee @AprilDalaman I've been a mess for 2 weeks 😩 
itshectorin, Fri Jan 29 18:59:20 +0000 2021, -115.579879, 30.156488, i hate it here 
bray_logsdon, Fri Jan 29 18:59:20 +0000 2021, -89.109654, 38.979796, me with my homework 
_MateoMontana_, Fri Jan 29 18:59:20 +0000 2021, -115.223125, 36.232915, This is sad 
JenniferKayMo, Fri Jan 29 18:59:20 +0000 2021, -122.630908, 45.536402, @BeckyJenkinsIRL I think this is my new plan if I don’t get the pit mix 
anchichis, Fri Jan 29 18:59:20 +0000 2021, -97.719930, 26.181307, yes i’d like to buy one stock please. 
citlallilazo, Fri Jan 29 18:59:20 +0000 2021, -100.076888, 31.168893, LMAOOOOOO I CANT HALF THE PEOPLE I WENT TO SCHOOL WITH 
sm0_LFC, Fri Jan 29 18:59:20 +0000 2021, -73.723025, 45.557830, @lpoetl_ @snad974 موب نفس المباراة. 
Bandz_Margera, Fri Jan 29 18:59:20 +0000 2021, -90.247824, 38.653771, @GanjaGuidance Thank you So MucH!! 💙💙💙 
aorticinkwell, Fri Jan 29 18:59:20 +0000 2021, -120.583402, 44.145437, @Tr3bz_Cl3f I am undeserving of this praise. 🥺💖 
aspenaidan, Fri Jan 29 18:59:21 +0000 2021, -106.840246, 39.206964, @RockyMountViews I see it every time I am driving to a Broncos game!! https://t.co/Osg5FRskCN 
FNDungeonMom, Fri Jan 29 18:59:21 +0000 2021, -104.724865, 38.749673, Basically I just want an excuse to play Kingdom Hearts from the beginning and y'all might as well come along for th… https://t.co/q9X9pmooI8 
Ph0eniiix, Fri Jan 29 18:59:21 +0000 2021, -123.123581, 49.257639, من تو اروپا زندگی میکردم راحت و نیمه لاکچری 
txemhorn134, Fri Jan 29 18:59:21 +0000 2021, -97.863458, 29.989242, My girl 🥰❤️ 
mickaellee70, Fri Jan 29 18:59:21 +0000 2021, -98.716992, 35.309047, Love it  #CrunchClassicEntry 
Boots30892792, Fri Jan 29 18:59:21 +0000 2021, -93.288926, 44.801838, https://t.co/gUPkmxuPdj 
ennisk, Fri Jan 29 18:59:21 +0000 2021, -80.075358, 26.788677, @AshaRangappa_ Assashoooooole. What is that thing he does with his eyes 👀 
monicaluna_r, Fri Jan 29 18:59:21 +0000 2021, -99.814952, 25.482443, ¿Recuerdas cuando te uniste a Twitter? ¡Yo sí! #MiAniversarioDeTwitterY fue para un en vivo que haría mi… https://t.co/5JoxZCsuMt 
2brookss, Fri Jan 29 18:59:21 +0000 2021, -100.076888, 31.168893, blessed🙏🏽 
tentwentysixpm, Fri Jan 29 18:59:22 +0000 2021, -118.411907, 34.020789, this is my nightmare!!!!!!!! my pussy is not a clown car!!!!!!!!!!!!!!!!! https://t.co/vP0PAgAg62 
sixiloh, Fri Jan 29 18:59:22 +0000 2021, -115.234435, 36.018805, Had an omelette my sister made and idk how many cals were in it so I’m just not gonna have anything else today or i… https://t.co/ToVOXrAs4r 
TnTMom262, Fri Jan 29 18:59:22 +0000 2021, -73.491133, 41.505078, @megtirrell Please call out DiBlasio for his ridiculous plan. Only J&amp;J fits a traditional vaccine manufacturer. 
theartist1111, Fri Jan 29 18:59:22 +0000 2021, -84.433106, 33.767195, I am receiving confirmation in increasing quantities, through multiple sources, on a continuous basis.🕊😇 
Johnny_Mo_2112, Fri Jan 29 18:59:22 +0000 2021, -80.240128, 43.534199, @Liv_F @RobynUrback It’s all relative. Some say they’re far left. 
wordman54, Fri Jan 29 18:59:22 +0000 2021, -96.734900, 33.061243, 💞🐾 something special to brighten our day and provide welcome respite from the coarse fray.....Boudin and Elvis are… https://t.co/MtD9GjeuFF 
CGrewall, Fri Jan 29 18:59:22 +0000 2021, -122.818486, 49.111519, #BellLetsTalk2021 #BellLetsTalk #BellLetsTalkDay #canada #regina #oldvideo I miss my Pakistani Friends &amp; their fami… https://t.co/PH3R8BNR3x 
JohnBranson17, Fri Jan 29 18:59:22 +0000 2021, -111.917026, 40.765805, “Thus, @SenMikeLee incorrectly states, that because the trial could not take place while trump was in office, the… https://t.co/kK7ageUGcS 
jsgascoigne, Fri Jan 29 18:59:22 +0000 2021, -93.105649, 44.941516, @brenface Same, but with frozen cauliflower 🤷‍♀️ 
JavaLacy, Fri Jan 29 18:59:22 +0000 2021, -90.833088, 29.794553, Proud Big Sister 
JeffGordonFan70, Fri Jan 29 18:59:23 +0000 2021, -86.270540, 45.001180, @MaryLTrump So glad I'm not the only one who thinks also. Especially when in a store and they cough on you in the store 🤬🤬🤬 
ColtonBartholet, Fri Jan 29 18:59:23 +0000 2021, -96.761753, 32.819858, I hope @WakaFlocka is having a good day today. 
grapicavoli, Fri Jan 29 18:59:23 +0000 2021, -80.259490, 25.764190, literally the corniest valentine’s day menu of all time @eating_house @ Eating House Miami https://t.co/J8myviLs5l 
RealActorRob, Fri Jan 29 18:59:23 +0000 2021, -95.446486, 29.838495, @AbhishekGaba15 @TradinWithMikey Depends on when you bought. Most of the dips seem to be during market issues. But… https://t.co/77FT1df4vC 
iamapublicenemy, Fri Jan 29 18:59:23 +0000 2021, -95.446486, 29.838495, I’m not headed to a good place. 
Angeleno1955, Fri Jan 29 18:59:23 +0000 2021, -118.411907, 34.020789, ...Kamala Harris Step Daughter receives a International Modeling Contract...? https://t.co/QphgmuZ4Uq 
tmj_NEN_jobs, Fri Jan 29 18:59:23 +0000 2021, -100.760145, 41.140276, We are committed to YOU! In life, change is constant. But with Genesis’ extensive geographic footprint and various… https://t.co/3WTFzAu0HR 
Ohwaawaa, Fri Jan 29 18:59:23 +0000 2021, -73.948775, 40.655138, @42shiesty Ryan 
GrahmBaker, Fri Jan 29 18:59:23 +0000 2021, -117.816000, 34.102900, Just posted a photo @ San Dimas, California https://t.co/7b1P6J4KNc 
chtucker18, Fri Jan 29 18:59:23 +0000 2021, -76.822948, 39.093086, I'm at broken heart in Maryland City, MD https://t.co/EhUp9PlvSG 
BDMF_, Fri Jan 29 18:59:23 +0000 2021, -118.125196, 34.583629, @chrissyyhoneyy Absolute mad lad 
MusicCityPromo, Fri Jan 29 18:59:23 +0000 2021, -86.791549, 36.200008, My Kind of Chaos @mykindofchaosau https://t.co/rJ6qplnvMZ 
freakquaday, Fri Jan 29 18:59:23 +0000 2021, -80.926628, 33.631140, Can sumbody feed me 
dmatevia, Fri Jan 29 18:59:23 +0000 2021, -84.153529, 39.695477, Hey @TysonBrand, where are my @FetchRewards points?! #feedmefetchpoints 
kultured_kyng, Fri Jan 29 18:59:23 +0000 2021, -89.922029, 35.133521, Where I go, so does He. Forever Brotha Jay. https://t.co/U0Ym72kyKP 
BronzeYellowPHX, Fri Jan 29 18:59:24 +0000 2021, -76.128811, 43.052607, Salt City Market is open right now 🎬📷 https://t.co/BjKa0rMzag 
TheVinoGuy9, Fri Jan 29 18:59:24 +0000 2021, -122.306264, 38.297072, @FieldYates The old John Madden quote applies “"If you've got two quarterbacks, you have none” 
donaldjosephU, Fri Jan 29 18:59:24 +0000 2021, -97.114771, 33.202495, @hugh_dini That’s honestly such a great idea 
JAlberto_Segura, Fri Jan 29 18:59:24 +0000 2021, -100.293591, 25.641718, @pachecoco_ JAJAJAJAJAJA AMO 
OA_TVenegas, Fri Jan 29 18:59:24 +0000 2021, -102.382856, 31.866271, First pitch from Odessa College pitcher Aydenne Brown is delivered and the 2021 season is underway. https://t.co/ENJuutzTOf 
tmj_neg_jobs, Fri Jan 29 18:59:24 +0000 2021, -99.084433, 40.715971, Click the link in our bio to see currently open #Retail jobs like "shift supervisor - Store# 29602, 42ND AND 2ND -… https://t.co/5aw3Le6wZv 
CrashAgneta, Fri Jan 29 18:59:24 +0000 2021, -71.713617, 42.287852, The waited thirty years to do this. 
abrunetweets, Fri Jan 29 18:59:24 +0000 2021, -87.732013, 41.833585, @jasmined_brown I got an app that reminds me! It helped me soooo much because I always forget to eat haha 
iteachtheheart, Fri Jan 29 18:59:24 +0000 2021, -82.613420, 28.062051, Couldn’t miss out on “The Journey of Water Drop” just because we’re virtual. So I made this-the kids had a blast! A… https://t.co/0Rt9DhPGvt 
ag_cornerman, Fri Jan 29 18:59:24 +0000 2021, -73.831187, 40.670879, What's up champ! It's going down.. Jr. is ready to put that work in!!! 🔥🔥🔥 
TheFarmerHayden, Fri Jan 29 18:59:25 +0000 2021, -97.343915, 37.683897, Yes.. let’s encourage the government be in charge of what we learn to be proper financial knowledge lolz 
slimsawyer, Fri Jan 29 18:59:25 +0000 2021, -87.533406, 33.196601, not enough people talking about the fact that my chemical romance are playing shows this year 
MikePriceman, Fri Jan 29 18:59:25 +0000 2021, -80.202900, 25.766430, CELEBRATING MY BIRTHDAY TONIGHT!!!! 🥳🥳🥳Come celebrate w me tonight at Los Altos!! 🎂🎂🎂Music by @niceguyerwin Do… https://t.co/uzKrVR6e8t 
DavoneeDior, Fri Jan 29 18:59:25 +0000 2021, -84.433106, 33.767195, Let me ride your face 😽 https://t.co/EGlYm36D09 https://t.co/mVrKAgHxqZ 
MedusaKatt, Fri Jan 29 18:59:25 +0000 2021, -76.255686, 36.895082, Why did I think they were gonna jump thru that portal 🤔 why is my brain so dumb. 
jenny2x, Fri Jan 29 18:59:25 +0000 2021, -96.761753, 32.819858, @haylgnar and you suggested i move to brooklyn smh 
SAVAGEJQQ, Fri Jan 29 18:59:25 +0000 2021, -91.437471, 30.417141, I thank god a lot why not he true but ok ✅ 
LVrealtortodd, Fri Jan 29 18:59:25 +0000 2021, -115.223125, 36.232915, @JackPosobiec What an absolute joke. Its literally a clown show. 🤡🤡 
